date,stock_id,open,close,volume,avg_sentiment,news_count,return_3d,sentiment_level,return_level,signal
2026-02-23,2308,1320.0,1305.0,22078521,0.4693201117318436,358,,⚪ 中性,無資料,—
2026-02-24,2308,1355.0,1385.0,14083155,0.2938462643678161,348,,⚪ 中性,無資料,—
2026-02-25,2308,1425.0,1435.0,14709013,0.7075304733727811,338,,🟢🟢 極度樂觀,無資料,—
2026-02-26,2308,1450.0,1430.0,17965290,0.3465854901960784,510,0.09578544061302682,⚪ 中性,小漲,⚪ 正常
2026-03-02,2308,1355.0,1425.0,15569999,0.5287968181818182,220,0.02888086642599278,⚪ 中性,平盤震盪,⚪ 正常
2026-03-03,2308,1410.0,1340.0,17852498,0.3340366666666667,90,-0.06620209059233449,⚪ 中性,📉 大跌,⚪ 正常
2026-03-04,2308,1295.0,1255.0,19185365,0.2235757142857143,280,-0.12237762237762238,🟠 偏空,📉 大跌,⚪ 正常
2026-03-05,2308,1335.0,1335.0,13686208,0.47127,130,-0.06315789473684211,⚪ 中性,📉 大跌,⚪ 正常
2026-03-06,2308,1340.0,1320.0,11211730,0.0252199999999999,60,-0.014925373134328358,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-03-09,2308,1210.0,1220.0,23398789,0.2753709401709402,468,-0.027888446215139442,⚪ 中性,平盤震盪,⚪ 正常
2026-03-10,2308,1280.0,1290.0,12096363,0.571098623853211,218,-0.033707865168539325,🟢 偏多,小跌,⚪ 正常
2026-03-11,2308,1350.0,1400.0,15114745,0.7820121212121213,198,0.06060606060606061,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-03-12,2308,1390.0,1370.0,7808202,-0.1330422222222222,90,0.12295081967213115,🔴 極度悲觀,📈 大漲,🟡 觀望（悲觀但股價未跌）
2026-03-13,2308,1355.0,1385.0,7798371,0.7413775,40,0.07364341085271318,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-03-16,2308,1395.0,1360.0,6238589,0.8295699999999999,50,-0.02857142857142857,🟢🟢 極度樂觀,小跌,🟡 觀望（樂觀但股價不買單）
2026-03-17,2308,1385.0,1440.0,13512996,0.602948401826484,219,0.051094890510948905,🟢 偏多,平盤震盪,⚪ 正常
2026-03-18,2308,1465.0,1465.0,11442896,0.6575270588235295,170,0.05776173285198556,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-03-19,2308,1450.0,1455.0,8335494,0.5184418181818181,110,0.06985294117647059,⚪ 中性,小漲,⚪ 正常
2026-03-20,2308,1450.0,1475.0,15939579,0.5697918750000001,160,0.024305555555555556,🟢 偏多,平盤震盪,⚪ 正常
2026-03-23,2308,1405.0,1410.0,13897471,0.1432,130,-0.03754266211604096,🟠 偏空,小跌,⚪ 正常
2026-03-24,2308,1455.0,1415.0,13206637,0.4547509999999999,200,-0.027491408934707903,⚪ 中性,平盤震盪,⚪ 正常
2026-03-25,2308,1485.0,1550.0,16571563,0.5786581907090464,818,0.05084745762711865,🟢 偏多,平盤震盪,⚪ 正常
2026-03-26,2308,1535.0,1515.0,13856198,0.3213091324200913,219,0.07446808510638298,⚪ 中性,小漲,⚪ 正常
2026-03-27,2308,1460.0,1510.0,10527057,0.3701142105263158,190,0.06713780918727916,⚪ 中性,小漲,⚪ 正常
2026-03-30,2308,1480.0,1485.0,11853740,0.06773,60,-0.041935483870967745,🔴 極度悲觀,小跌,⚪ 正常
2026-03-31,2308,1465.0,1380.0,21389778,-0.1123764705882352,289,-0.0891089108910891,🔴 極度悲觀,📉 大跌,🟢 綠燈（恐慌超賣，反彈機率高）
2026-04-01,2308,1465.0,1475.0,12559029,0.6186903225806452,248,-0.023178807947019868,🟢 偏多,平盤震盪,⚪ 正常
2026-04-02,2308,1480.0,1430.0,9953601,0.235645,60,-0.037037037037037035,🟠 偏空,小跌,⚪ 正常
2026-04-07,2308,1495.0,1515.0,11190572,0.630896,200,0.09782608695652174,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-04-08,2308,1630.0,1665.0,13400336,0.7044457777777778,450,0.1288135593220339,🟢🟢 極度樂觀,📈 大漲,🔴 紅燈（利多出盡，追高風險大）
2026-04-09,2308,1685.0,1645.0,15129409,0.6516611363636364,440,0.15034965034965034,🟢🟢 極度樂觀,📈 大漲,🔴 紅燈（利多出盡，追高風險大）
2026-04-10,2308,1690.0,1735.0,11557080,0.5514770833333333,240,0.14521452145214522,⚪ 中性,📈 大漲,⚪ 正常
2026-04-13,2308,1730.0,1740.0,7069198,0.64522,170,0.04504504504504504,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-04-14,2308,1805.0,1750.0,12801739,0.5823318181818182,220,0.06382978723404255,🟢 偏多,小漲,⚪ 正常
2026-04-15,2308,1785.0,1785.0,12877432,0.46746375,160,0.02881844380403458,⚪ 中性,平盤震盪,⚪ 正常
2026-04-16,2308,1835.0,1845.0,13254811,0.4230578947368421,57,0.0603448275862069,⚪ 中性,小漲,⚪ 正常
2026-04-17,2308,1865.0,1840.0,10769751,0.4738221311475409,122,0.05142857142857143,⚪ 中性,平盤震盪,⚪ 正常
2026-04-20,2308,1860.0,1900.0,12064485,0.6154281420765028,366,0.06442577030812324,🟢 偏多,小漲,⚪ 正常
2026-04-21,2308,1950.0,2015.0,11917108,0.6466509316770186,322,0.0921409214092141,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-04-22,2308,2040.0,2015.0,10968852,0.5882544444444444,90,0.09510869565217392,🟢 偏多,小漲,⚪ 正常
2026-04-23,2308,2100.0,1980.0,17431212,0.6452642857142857,210,0.042105263157894736,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-04-24,2308,2005.0,2075.0,11571377,0.6632785234899329,149,0.02977667493796526,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-04-27,2308,2070.0,2020.0,15898086,0.3482073825503355,149,0.0024813895781637717,⚪ 中性,平盤震盪,⚪ 正常
2026-04-28,2308,2030.0,2125.0,15038642,0.519851724137931,319,0.07323232323232323,⚪ 中性,小漲,⚪ 正常
2026-04-29,2308,2040.0,2165.0,12261414,0.4734355742296919,357,0.043373493975903614,⚪ 中性,平盤震盪,⚪ 正常
2026-04-30,2308,2220.0,2165.0,14060511,0.5884130319148936,376,0.07178217821782178,🟢 偏多,小漲,⚪ 正常
2026-05-04,2308,2250.0,2220.0,12649019,0.6173514285714286,210,0.04470588235294118,🟢 偏多,平盤震盪,⚪ 正常
2026-05-05,2308,2185.0,2165.0,10559120,0.4557632478632478,117,0.0,⚪ 中性,平盤震盪,⚪ 正常
2026-05-06,2308,2215.0,2210.0,15562046,0.4419478260869565,69,0.020785219399538105,⚪ 中性,平盤震盪,⚪ 正常
2026-05-07,2308,2275.0,2280.0,15656408,0.4488373873873874,222,0.02702702702702703,⚪ 中性,平盤震盪,⚪ 正常
2026-05-08,2308,2230.0,2200.0,11802071,0.2430753333333333,300,0.016166281755196306,🟠 偏空,平盤震盪,⚪ 正常
2026-05-11,2308,2215.0,2245.0,9200516,0.5656442857142857,70,0.01583710407239819,🟢 偏多,平盤震盪,⚪ 正常
2026-05-12,2308,2225.0,2195.0,13011711,-0.0169199999999999,30,-0.03728070175438596,🔴 極度悲觀,小跌,⚪ 正常
2026-05-13,2308,2160.0,2165.0,7659621,0.4153792270531401,207,-0.015909090909090907,⚪ 中性,平盤震盪,⚪ 正常
2026-05-14,2308,2210.0,2155.0,7332576,0.32842875,80,-0.0400890868596882,⚪ 中性,小跌,⚪ 正常
2026-05-15,2308,2185.0,2075.0,12351492,0.131251,100,-0.05466970387243736,🟠 偏空,📉 大跌,⚪ 正常
2026-05-18,2308,1985.0,2020.0,10082191,0.14713,90,-0.06697459584295612,🟠 偏空,📉 大跌,⚪ 正常
2026-05-19,2308,2020.0,1915.0,16288903,0.2916825301204819,166,-0.11136890951276102,⚪ 中性,📉 大跌,⚪ 正常
2026-05-20,2308,1880.0,1915.0,10890054,-0.2736699999999999,20,-0.07710843373493977,🔴 極度悲觀,📉 大跌,🟢 綠燈（恐慌超賣，反彈機率高）
2026-05-21,2308,2015.0,2030.0,11663874,0.513133076923077,130,0.0049504950495049506,⚪ 中性,平盤震盪,⚪ 正常
2026-05-22,2308,2125.0,2095.0,8534359,0.29479,70,0.09399477806788512,⚪ 中性,小漲,⚪ 正常
2026-05-25,2308,2205.0,2290.0,12049781,0.5943921787709496,179,0.195822454308094,🟢 偏多,📈 大漲,⚪ 正常
2026-05-26,2308,2350.0,2350.0,12198582,0.5060625,128,0.15763546798029557,⚪ 中性,📈 大漲,⚪ 正常
2026-05-27,2308,2490.0,2520.0,13897689,0.5576636904761905,336,0.20286396181384247,🟢 偏多,📈 大漲,⚪ 正常
2026-05-28,2308,2485.0,2390.0,11721062,0.5069484375000001,192,0.043668122270742356,⚪ 中性,平盤震盪,⚪ 正常
2026-05-29,2308,2470.0,2445.0,17179076,0.5240077777777777,90,0.04042553191489362,⚪ 中性,平盤震盪,⚪ 正常
2026-06-01,2308,2450.0,2420.0,9840869,0.3865592592592592,189,-0.03968253968253968,⚪ 中性,小跌,⚪ 正常
2026-06-02,2308,2430.0,2360.0,12331189,0.5193172897196262,214,-0.012552301255230125,⚪ 中性,平盤震盪,⚪ 正常
2026-06-03,2308,2420.0,2455.0,10882344,0.4745535353535354,99,0.00408997955010225,⚪ 中性,平盤震盪,⚪ 正常
2026-06-04,2308,2440.0,2425.0,9416420,0.2610188034188034,117,0.002066115702479339,🟠 偏空,平盤震盪,⚪ 正常
2026-06-05,2308,2380.0,2300.0,12283892,0.1768932539682539,252,-0.025423728813559324,🟠 偏空,平盤震盪,⚪ 正常
2026-06-08,2308,2090.0,2255.0,15374423,0.2150969230769231,130,-0.0814663951120163,🟠 偏空,📉 大跌,⚪ 正常
2026-06-09,2308,2265.0,2415.0,15579800,0.6371713483146068,178,-0.004123711340206186,🟢🟢 極度樂觀,平盤震盪,🟡 觀望（樂觀但股價不買單）
2026-06-10,2308,2370.0,2200.0,18810727,0.3246188811188811,143,-0.043478260869565216,⚪ 中性,小跌,⚪ 正常
2026-06-11,2308,2170.0,2160.0,15289457,0.1882696629213483,89,-0.04212860310421286,🟠 偏空,小跌,⚪ 正常
2026-06-12,2308,2260.0,2215.0,9897155,0.5894148148148148,27,-0.08281573498964803,🟢 偏多,📉 大跌,⚪ 正常
2026-06-15,2308,2310.0,2210.0,9456969,0.5078055555555555,18,0.004545454545454545,⚪ 中性,平盤震盪,⚪ 正常
2026-06-16,2308,2265.0,2230.0,9190426,0.2464871794871794,117,0.032407407407407406,🟠 偏空,平盤震盪,⚪ 正常
2026-06-17,2308,2220.0,2155.0,11613654,0.0366123456790123,81,-0.02708803611738149,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-06-18,2308,2190.0,2150.0,12882319,-0.1124777777777777,9,-0.027149321266968326,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-06-22,2308,2170.0,2150.0,16874717,0.2330444444444444,72,-0.03587443946188341,🟠 偏空,小跌,⚪ 正常
2026-06-23,2308,2170.0,2080.0,14787242,0.2941058823529412,17,-0.03480278422273782,⚪ 中性,小跌,⚪ 正常
2026-02-23,2330,1900.0,1900.0,80768993,0.3566282926829268,410,,⚪ 中性,無資料,—
2026-02-24,2330,1915.0,1965.0,44316733,0.4378834978843441,709,,⚪ 中性,無資料,—
2026-02-25,2330,1995.0,2015.0,47398835,0.4495540120793788,1159,,⚪ 中性,無資料,—
2026-02-26,2330,2000.0,1995.0,74411249,0.4468264919941776,687,0.05,⚪ 中性,平盤震盪,⚪ 正常
2026-03-02,2330,1940.0,1975.0,57404594,0.1805965,800,0.005089058524173028,🟠 偏空,平盤震盪,⚪ 正常
2026-03-03,2330,1970.0,1935.0,54577298,-0.0105138596491228,570,-0.03970223325062035,🔴 極度悲觀,小跌,⚪ 正常
2026-03-04,2330,1895.0,1865.0,84647010,-0.0952342857142857,560,-0.06516290726817042,🔴 極度悲觀,📉 大跌,🟢 綠燈（恐慌超賣，反彈機率高）
2026-03-05,2330,1940.0,1900.0,56489914,0.3791058974358974,390,-0.0379746835443038,⚪ 中性,小跌,⚪ 正常
2026-03-06,2330,1880.0,1890.0,34307388,0.204020909090909,220,-0.023255813953488372,🟠 偏空,平盤震盪,⚪ 正常
2026-03-09,2330,1775.0,1810.0,94441296,0.03595,390,-0.029490616621983913,🔴 極度悲觀,小跌,⚪ 正常
2026-03-10,2330,1870.0,1850.0,46926862,0.5095851470588235,680,-0.02631578947368421,⚪ 中性,平盤震盪,⚪ 正常
2026-03-11,2330,1885.0,1940.0,39238328,0.5944791176470589,340,0.026455026455026454,🟢 偏多,平盤震盪,⚪ 正常
2026-03-12,2330,1900.0,1885.0,40662382,-0.280810909090909,220,0.04143646408839779,🔴 極度悲觀,平盤震盪,🟡 觀望（悲觀但股價未跌）
2026-03-13,2330,1840.0,1865.0,36317450,0.0799611111111111,90,0.008108108108108109,🔴 極度悲觀,平盤震盪,🟡 觀望（悲觀但股價未跌）
2026-03-16,2330,1875.0,1845.0,35401289,0.29425875,320,-0.04896907216494845,⚪ 中性,小跌,⚪ 正常
2026-03-17,2330,1875.0,1870.0,26754183,0.5654565789473684,380,-0.007957559681697613,🟢 偏多,平盤震盪,⚪ 正常
2026-03-18,2330,1900.0,1905.0,25694925,0.4263329999999999,100,0.021447721179624665,⚪ 中性,平盤震盪,⚪ 正常
2026-03-19,2330,1875.0,1850.0,38750629,0.1421768181818181,220,0.0027100271002710027,🟠 偏空,平盤震盪,⚪ 正常
2026-03-20,2330,1860.0,1840.0,53705722,0.073367619047619,210,-0.016042780748663103,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-03-23,2330,1790.0,1810.0,41950478,-0.0882485294117647,340,-0.049868766404199474,🔴 極度悲觀,小跌,⚪ 正常
2026-03-24,2330,1850.0,1810.0,30569936,0.3583401826484018,219,-0.021621621621621623,⚪ 中性,平盤震盪,⚪ 正常
2026-03-25,2330,1865.0,1845.0,46664345,0.5055814285714286,140,0.002717391304347826,⚪ 中性,平盤震盪,⚪ 正常
2026-03-26,2330,1850.0,1840.0,24634887,0.0425691666666666,240,0.016574585635359115,🔴 極度悲觀,平盤震盪,🟡 觀望（悲觀但股價未跌）
2026-03-27,2330,1805.0,1820.0,33883223,-0.1438266666666666,120,0.0055248618784530384,🔴 極度悲觀,平盤震盪,🟡 觀望（悲觀但股價未跌）
2026-03-30,2330,1780.0,1780.0,46272405,-0.0542752459016393,610,-0.03523035230352303,🔴 極度悲觀,小跌,⚪ 正常
2026-03-31,2330,1775.0,1760.0,75832456,0.2013305084745762,649,-0.043478260869565216,🟠 偏空,小跌,⚪ 正常
2026-04-01,2330,1840.0,1855.0,46457423,0.5243277693474961,659,0.019230769230769232,⚪ 中性,平盤震盪,⚪ 正常
2026-04-02,2330,1865.0,1810.0,29332490,0.2188441176470588,340,0.016853932584269662,🟠 偏空,平盤震盪,⚪ 正常
2026-04-07,2330,1850.0,1860.0,19895445,0.4987278656126482,506,0.056818181818181816,⚪ 中性,平盤震盪,⚪ 正常
2026-04-08,2330,1935.0,1950.0,53813263,0.7187560862865947,649,0.05121293800539083,🟢🟢 極度樂觀,平盤震盪,⚪ 正常
2026-04-09,2330,1945.0,1955.0,36054784,0.4663691382765531,499,0.08011049723756906,⚪ 中性,小漲,⚪ 正常
2026-04-10,2330,1975.0,2000.0,39096242,0.6926876600698486,859,0.07526881720430108,🟢🟢 極度樂觀,小漲,⚪ 正常
2026-04-13,2330,1985.0,1990.0,31882568,0.3903204322200393,509,0.020512820512820513,⚪ 中性,平盤震盪,⚪ 正常
2026-04-14,2330,2015.0,2055.0,46188401,0.5186339805825243,618,0.05115089514066496,⚪ 中性,平盤震盪,⚪ 正常
2026-04-15,2330,2065.0,2080.0,46824833,0.4131375963020031,649,0.04,⚪ 中性,平盤震盪,⚪ 正常
2026-04-16,2330,2080.0,2085.0,35974352,0.5578416293643689,1117,0.04773869346733668,🟢 偏多,平盤震盪,⚪ 正常
2026-04-17,2330,2055.0,2030.0,44433257,0.2661828541001065,939,-0.012165450121654502,🟠 偏空,平盤震盪,⚪ 正常
2026-04-20,2330,2030.0,2025.0,30566172,0.5656073913043478,230,-0.026442307692307692,🟢 偏多,平盤震盪,⚪ 正常
2026-04-21,2330,2050.0,2050.0,28055761,0.5566855555555555,180,-0.016786570743405275,⚪ 中性,平盤震盪,⚪ 正常
2026-04-22,2330,2045.0,2050.0,27457065,0.57772,360,0.009852216748768473,🟢 偏多,平盤震盪,⚪ 正常
2026-04-23,2330,2090.0,2080.0,54918117,0.4877653250773994,969,0.027160493827160494,⚪ 中性,平盤震盪,⚪ 正常
2026-04-24,2330,2110.0,2185.0,52391785,0.4491754,500,0.06585365853658537,⚪ 中性,小漲,⚪ 正常
2026-04-27,2330,2280.0,2265.0,79778277,0.384622044198895,1810,0.1048780487804878,⚪ 中性,小漲,⚪ 正常
2026-04-28,2330,2245.0,2215.0,57336004,0.0765888888888888,450,0.06490384615384616,🔴 極度悲觀,小漲,🟡 觀望（悲觀但股價未跌）
2026-04-29,2330,2175.0,2180.0,49147402,0.1248736842105263,570,-0.002288329519450801,🔴 極度悲觀,平盤震盪,⚪ 正常
2026-04-30,2330,2205.0,2135.0,59584011,0.3113961111111111,360,-0.05739514348785872,⚪ 中性,📉 大跌,⚪ 正常
2026-05-04,2330,2200.0,2275.0,44458732,0.5905372580645162,620,0.02708803611738149,🟢 偏多,平盤震盪,⚪ 正常
2026-05-05,2330,2250.0,2250.0,26644983,0.5022519565217392,460,0.03211009174311927,⚪ 中性,平盤震盪,⚪ 正常
2026-05-06,2330,2250.0,2250.0,38026963,0.4898721052631579,190,0.053864168618266976,⚪ 中性,平盤震盪,⚪ 正常
2026-05-07,2330,2335.0,2310.0,41966283,0.4064269565217391,690,0.015384615384615385,⚪ 中性,平盤震盪,⚪ 正常
2026-05-08,2330,2300.0,2290.0,31730352,0.437542600896861,669,0.017777777777777778,⚪ 中性,平盤震盪,⚪ 正常
2026-05-11,2330,2265.0,2235.0,46172626,0.4190057894736841,380,-0.006666666666666667,⚪ 中性,平盤震盪,⚪ 正常
2026-05-12,2330,2235.0,2255.0,54239538,0.52066140625,640,-0.023809523809523808,⚪ 中性,平盤震盪,⚪ 正常
2026-05-13,2330,2205.0,2220.0,43727683,0.2477826984126984,630,-0.03056768558951965,🟠 偏空,小跌,⚪ 正常
2026-05-14,2330,2250.0,2270.0,39564699,0.4501441591784339,779,0.015659955257270694,⚪ 中性,平盤震盪,⚪ 正常
2026-05-15,2330,2310.0,2265.0,34360513,0.3676074424898511,739,0.004434589800443459,⚪ 中性,平盤震盪,⚪ 正常
2026-05-18,2330,2225.0,2240.0,32966937,0.16514046875,640,0.009009009009009009,🟠 偏空,平盤震盪,⚪ 正常
2026-05-19,2330,2220.0,2205.0,45585931,0.2038635897435897,390,-0.028634361233480177,🟠 偏空,小跌,⚪ 正常
2026-05-20,2330,2205.0,2185.0,38332945,0.36643,340,-0.03532008830022075,⚪ 中性,小跌,⚪ 正常
2026-05-21,2330,2240.0,2230.0,24929331,0.5137674999999999,320,-0.004464285714285714,⚪ 中性,平盤震盪,⚪ 正常
2026-05-22,2330,2245.0,2255.0,26823133,0.5072921874999999,320,0.022675736961451247,⚪ 中性,平盤震盪,⚪ 正常
2026-05-25,2330,2275.0,2310.0,28250944,0.3840413793103448,580,0.057208237986270026,⚪ 中性,平盤震盪,⚪ 正常
2026-05-26,2330,2320.0,2270.0,32781470,0.2671803389830509,590,0.017937219730941704,🟠 偏空,平盤震盪,⚪ 正常
2026-05-27,2330,2310.0,2300.0,40272350,0.383418,600,0.019955654101995565,⚪ 中性,平盤震盪,⚪ 正常
2026-05-28,2330,2350.0,2295.0,42313277,0.409466,600,-0.006493506493506494,⚪ 中性,平盤震盪,⚪ 正常
2026-05-29,2330,2340.0,2355.0,104783831,0.439325652173913,460,0.037444933920704845,⚪ 中性,平盤震盪,⚪ 正常
2026-06-01,2330,2355.0,2355.0,60942792,0.441427962962963,540,0.02391304347826087,⚪ 中性,平盤震盪,⚪ 正常
2026-06-02,2330,2390.0,2380.0,41532527,0.389982676056338,710,0.037037037037037035,⚪ 中性,平盤震盪,⚪ 正常
2026-06-03,2330,2425.0,2425.0,29219904,0.5596652083333333,480,0.029723991507430998,🟢 偏多,平盤震盪,⚪ 正常
2026-06-04,2330,2385.0,2385.0,32542948,0.4657302019315188,1139,0.012738853503184714,⚪ 中性,平盤震盪,⚪ 正常
2026-06-05,2330,2395.0,2365.0,43403895,0.1578477777777777,360,-0.0063025210084033615,🟠 偏空,平盤震盪,⚪ 正常
2026-06-08,2330,2230.0,2295.0,52273858,0.1497823182711198,509,-0.05360824742268041,🟠 偏空,📉 大跌,⚪ 正常
2026-06-09,2330,2305.0,2305.0,38847544,0.2332011111111111,360,-0.033542976939203356,🟠 偏空,小跌,⚪ 正常
2026-06-10,2330,2285.0,2255.0,54194021,0.3697031988873435,719,-0.046511627906976744,⚪ 中性,小跌,⚪ 正常
2026-06-11,2330,2240.0,2250.0,46417523,0.3663026086956522,690,-0.0196078431372549,⚪ 中性,平盤震盪,⚪ 正常
2026-06-12,2330,2325.0,2310.0,26306885,0.376528064516129,310,0.0021691973969631237,⚪ 中性,平盤震盪,⚪ 正常
2026-06-15,2330,2360.0,2375.0,30228535,0.4461564102564103,390,0.05321507760532151,⚪ 中性,平盤震盪,⚪ 正常
2026-06-16,2330,2375.0,2400.0,37145708,0.4886691740412979,678,0.06666666666666667,⚪ 中性,小漲,⚪ 正常
2026-06-17,2330,2355.0,2385.0,30059393,0.4629094339622642,530,0.032467532467532464,⚪ 中性,平盤震盪,⚪ 正常
2026-06-18,2330,2395.0,2410.0,49982610,0.4668838095238095,420,0.014736842105263158,⚪ 中性,平盤震盪,⚪ 正常
2026-06-22,2330,2455.0,2510.0,45207883,0.6014311111111111,720,0.04583333333333333,🟢 偏多,平盤震盪,⚪ 正常
2026-06-23,2330,2510.0,2490.0,39537895,0.315387,700,0.0440251572327044,⚪ 中性,平盤震盪,⚪ 正常
2026-02-23,2454,1880.0,1795.0,17358721,0.3352367647058823,68,,⚪ 中性,無資料,—
2026-02-24,2454,1810.0,1825.0,7063638,0.73856,40,,🟢🟢 極度樂觀,無資料,—
2026-02-25,2454,1840.0,1870.0,8467982,0.64289,160,,🟢🟢 極度樂觀,無資料,—
